date,Brl,Eur,Cny,Krw
2019-07-11,3.7734329057375047,0.8893405108250002,6.876417450924994,1178.1708249517862
2019-07-12,3.7443875261944393,0.8871119875388881,6.871522405027779,1175.4821458989666
2019-07-13,3.756420510099993,0.8886519149999986,6.881009508600005,1178.9656091708996
2019-07-14,3.756420510099993,0.8886519149999986,6.881009508600005,1178.9656091708996
2019-07-15,3.7484452431499995,0.8881612424166676,6.879004632572217,1179.1118109031486
2019-07-16,3.7453303493125003,0.8887541238749989,6.876498636250002,1179.1327123096514
2019-07-17,3.761122076138894,0.8912480478680553,6.877542518236108,1179.6122219446154
2019-07-18,3.760569003455555,0.8916342433555567,6.878455337041668,1180.0418223614079
2019-07-19,3.7484436920944413,0.8912745916277773,6.879485216977781,1176.885926587602
2019-07-20,3.7314270443999953,0.8907892392999989,6.878407268800003,1175.0579013006009
2019-07-21,3.7314270443999953,0.8907892392999989,6.878407268800003,1175.0579013006009
2019-07-22,3.735942616087499,0.8911168813374997,6.879298791774999,1175.8980362843233
2019-07-23,3.7451565017194457,0.8928733295083329,6.880041076255547,1177.823348647084
2019-07-24,3.7544214033388865,0.8959721817694454,6.877396387775003,1178.2142104697798
2019-07-25,3.7627340170875048,0.8984232089499989,6.874264725462495,1178.4878793880628
2019-07-26,3.7641713038652793,0.8990400226305548,6.874770149448606,1181.4394837121172
2019-07-27,3.7756329682,0.8978272579999997,6.878164841099991,1183.1477823666992
2019-07-28,3.7756329682,0.8978272579999997,6.878164841099991,1183.1477823666992
2019-07-29,3.7791591541347227,0.8983173481972213,6.883039827406936,1183.5149411600696
2019-07-30,3.7866877279555546,0.8982639718944445,6.888953483961104,1183.0018847367905
2019-07-31,3.785064759990281,0.8966365079791666,6.88202133285833,1181.455643397021
2019-08-01,3.798135990372222,0.9001254401416675,6.889314146669446,1185.0951383121562
2019-08-02,3.8409023301416636,0.9040105717000004,6.915127009005562,1194.0055632984834
2019-08-03,3.867999279699999,0.9004141905000007,6.938411669400008,1200.6482982172008
2019-08-04,3.867999279699999,0.9004141905000007,6.938411669400008,1200.6482982172008
2019-08-05,3.8858588772277765,0.8982042667666676,6.974570598591672,1206.2271041388135
2019-08-06,3.926314540447225,0.8941500646861107,7.031468650524993,1215.08757980348
2019-08-07,3.9503142173000025,0.8934957102999986,7.028791540699989,1214.0748388560014
2019-08-08,3.9634174495000014,0.8929369975333324,7.0478610880999915,1213.392858638265
2019-08-09,3.94712041196667,0.8932825550999988,7.050528855199989,1209.6740293371686
2019-08-10,3.9287372745000035,0.8930166100999989,7.05831398459999,1211.1537774603005
2019-08-11,3.9287372745000035,0.8930166100999989,7.05831398459999,1211.1537774603005
2019-08-12,3.949037284900001,0.8931229786000002,7.058410264033336,1213.7696018635327
2019-08-13,3.9896788214166654,0.8925308130166676,7.061542654816673,1220.6863918231857
2019-08-14,3.9919192674374964,0.8921222722250004,7.0487537264875035,1220.1351501026015
2019-08-15,4.005428477527776,0.8948725046902789,7.0251139468763855,1214.0057973709895
2019-08-16,4.0072691712125,0.8991079973749998,7.038250440875,1211.6793734118864
2019-08-17,3.979324665900001,0.9028530155000001,7.040267244500001,1208.5590465871992
2019-08-18,3.979324665900001,0.9028530155000001,7.040267244500001,1208.5590465871992
2019-08-19,3.984721050101388,0.9020906767847223,7.043860892381949,1208.9583663951157
2019-08-20,4.018075087436111,0.9014503122638887,7.053465367761111,1209.0264502241794
2019-08-21,4.045578520200004,0.9020941332999993,7.060316890999998,1206.206107336668
2019-08-22,4.024565342337501,0.9012162713375012,7.071836215400004,1205.5951344929604
2019-08-23,4.053654211311109,0.9028128104611114,7.086415655083328,1210.7282216144326
2019-08-24,4.087121554499997,0.9037505647999995,7.08892905559999,1212.1012200632988
2019-08-25,4.087121554499997,0.9037505647999995,7.08892905559999,1212.1012200632988
2019-08-26,4.095845811816664,0.9022532570833329,7.109345172605552,1212.5717052775242
2019-08-27,4.12729218303889,0.8999552445083326,7.151181384586113,1213.100385416124
2019-08-28,4.150350310625001,0.9012162713375012,7.160900300150014,1213.0998024086741
2019-08-29,4.143282311894445,0.9026064809611126,7.153812564997231,1212.6491736294658
2019-08-30,4.150553034738887,0.9043249418555549,7.145395861938884,1209.4082669728768
2019-08-31,4.157212758199995,0.9061254077999992,7.150054367499994,1208.0554548749988
2019-09-01,4.152731105599999,0.9089343304499993,7.160776636699994,1210.1044962194005
2019-09-02,4.1482494530000045,0.9117432530999993,7.171498905899994,1212.153537563802
2019-09-03,4.177013806300007,0.9143275121000014,7.17865959589998,1214.9583980981995
2019-09-04,4.138954438200004,0.907605736099999,7.152659284800016,1205.264113269197
2019-09-05,4.072707542099992,0.9043226623000004,7.143787303299982,1197.2327726532978
2019-09-06,4.094041897199991,0.9068649678000008,7.113630180499995,1192.2735104743012
2019-09-07,4.095122134366664,0.9065090123333334,7.11092857443333,1192.1527509442353
2019-09-08,4.096202371533337,0.9061530568666658,7.108226968366665,1192.0319914141692
2019-09-09,4.097282608700011,0.9057971013999984,7.1055253623,1191.9112318841032
2019-09-10,4.080859790200003,0.9073200720999997,7.11129217310001,1192.3111553404017
2019-09-11,4.064436971699994,0.9088430428000008,7.117058983900019,1192.7110787967001
2019-09-12,4.059482727845829,0.9099944447791662,7.106850478240268,1189.3192546290265
2019-09-13,4.050898728323613,0.9083627563333319,7.085916788329161,1180.8794640086262
2019-09-14,4.0522710887,0.9012256669,7.0826423937,1177.0007209805
2019-09-15,4.0720969259,0.9038808962,7.074863033500001,1180.5273752668
